company_name,phone,address,postal_code,municipality,province,business_purpose,social_capital,start_date,coordinates,url
ROMERITO INVESTMENTS & PROPERTIES SL,+34952363548,C/ ESPACIO 48,29006,Málaga,Málaga,"Actividad principal: ""Organización de convenciones y ferias de muestras"", CNAE 82.30 Otras actividades: Promoción inmobiliaria. Alquiler de bienes inmobiliarias por cuenta propia","9.000,00 Euros",06/05/2025,"36.69966044853431,-4.47470130097368",https://www.datoscif.es/empresa/romerito-investments-properties-sl
INNOCAF TECH SL,+34982310276,"RU DOS TRANSPORTES, 7-POLIGONO INDUSTRIAL O CEAO 2",27003,Lugo,Lugo,"Servicios empresariales de investigación, desarrollo e innovación, servicios de consultoría profesional relacionados con la elaboración de café tostado y la tecnología alimentaria. (CNAE 7490)","3.000,00 Euros",18/02/2025,"43.04545654499761,-7.56250744585074",https://www.datoscif.es/empresa/innocaf-tech-sl
INVERSIONES YAROT SL,+34951550500,C/ MANUEL DE FALLA 1 BAJO D - SAN PEDRO DE ALCANTA,29670,Marbella,Málaga,CNAE y ACTIVIDAD principal: 77.11 Alquiler de automóviles y vehículos de motor ligeros. Otras actividades: Reparto a domicilio transporte de carga por carretera; Compraventa y reparación de vehículos; Reparación y mantenimiento de instalaciones y maquinaria; Otro acabado de edificios; Comercio al po,"3.000,00 Euros",21/05/2025,,https://www.datoscif.es/empresa/inversiones-yarot-sl
PROSHIFT BBALL SL,+34626797672,C/ POETA LEON FELIPE 18 1º 1ª,,Zaragoza,Zaragoza,"CNAE 8551. Escuelas y servicios de perfeccionamiento del deporte.  Servicios para la mejora de entrenadores y jugadores (mentorías, asesorías, seguimiento en vídeo de jugadores...). Colaboración con agencias de jugadores deportivos como comisionista","3.000,00 Euros",01/06/2025,,https://www.datoscif.es/empresa/proshift-bball-sl
LAURUS REGENERATIVE SL,+34954448499,CLLON DEL PERCHEL 4 Esc.1 4,29002,Málaga,Málaga,"ACTIVIDAD PRINCIPAL: 85.59 / OTRA EDUCACION N.C.O.P. Otras actividades: 74.99 / Todas las demás actividades profesionales, científicas y técnicas n.c.o.p., 82.30 / Organización de convenciones y ferias de muestras, 82.40 / Actividades de intermediación para servicios de apoyo a las empresas n.c.o.p","3.000,00 Euros",02/06/2025,"36.71533258958154,-4.43014586011884",https://www.datoscif.es/empresa/laurus-regenerative-sl
DENTEKIA ACADEMY SL,+34697935323,CL COMTE BORRELL NUM.35 P.4 PTA.4,08015,Barcelona,Barcelona,ACTIVIDAD PRINCIPAL: 8559 / OTRA EDUCACION N.C.O.P,"3.000,00 Euros",09/06/2025,"41.37642851351350,2.163385553457330",https://www.datoscif.es/empresa/dentekia-academy-sl
ADARA CLINICA MEDICO Y ESTETICA SL,+34983653250,"C/ MAESTRA, 131 0º 01 23100",23100,Mancha Real,Jaén,Actividad principal: 86.21 Actividades de medicina general y de medicina familiar y comunitaria,"3.000,00 Euros",13/07/2025,"37.78654109504410,-3.60872699531668",https://www.datoscif.es/empresa/adara-clinica-medico-y-estetica-sl
SUTURO SALUD SL,+34659484338,"C/ ARZOBISPO MALVAR 13, 2º C",36002,Pontevedra,Pontevedra,"CNAE 8621: a).- La intermediación y gestión para la realización, a través de los oportunos profesionales, de todo tipo de actividades médicas y/o prestación de servicios médicos, tratamientos, técnicas en desarrollo y/o que se desarrollen en el futuro, o la utilización de cualquier otra técnica o i","3.000,00 Euros",24/04/2025,"42.43385031991080,-8.64844584996196",https://www.datoscif.es/empresa/suturo-salud-sl
ACTUACIONES ASISTENCIALES MMC SL,+34931600051,AV DIAGONAL NUM.363 P.2 PTA.2,08037,Barcelona,Barcelona,PRESTACION DE SERVICIOS ASISTENCIALES DESTINADA AL CUIDADO Y ATENCION INTEGRAL DE LAS PERSONAS. CNAE 87.10 ASISTENCIA EN ESTABLECIMIENTOS RESIDENCIALES CON CUIDADOS SANITARIOS,"3.000,00 Euros",19/05/2025,"41.39706494529501,2.163057684423140",https://www.datoscif.es/empresa/actuaciones-asistenciales-mmc-sl
GOMEZ GESTION INTEGRAL SL,+34913030000,"C/ CEPA, 6 2º E-EDIFICIO DEFI 18611",18611,Molvízar,Granada,"Constituye la actividad principal de la Sociedad es: la gestión de instalaciones deportivas (CNAE 9311). También tiene por objeto: La realización de actividades deportivas, recreativas y de entretenimiento (CNAE 9312. 9313, 9319. 9329). La explotación de negocios de hostelería..","3.000,00 Euros",19/05/2025,"36.78842625455673,-3.61172169049596",https://www.datoscif.es/empresa/gomez-gestion-integral-sl
ATHLETIC TALENTS GROUP SL,+34937870351,RB ANTON FRANCH NUM.5,08224,Terrassa,Barcelona,ACTIVIDAD PRINCIPAL: 9311 / GESTION DE INSTALACIONES DEPORTIVAS. OTRAS ACTIVIDADES: 9313 / ACTIVIDADES DE LOS CENTROS DEPORTIVOS. 9319 / ACTIVIDADES DEPORTIVAS N.C.O.P,"3.000,00 Euros",29/05/2025,"41.55154209206958,2.008089371283275",https://www.datoscif.es/empresa/athletic-talents-group-sl
XSPORT ROTA SL,346969174,"C/ HIGUERETA, 32 3º 11520",11520,Rota,Cádiz,Actividad principal: gestión y explotación de centros de entrenamientosfísicos y deportivos.-CNAE principal: 9312.- Actividades de los clubes deportivos.Otros CNAE:V9311.- Gestión de instalaciones deportivas93.29. Actividades recreativas y de entretenimiento n.c.o.p.Otras actividades:-,"3.000,00 Euros",14/05/2025,"36.61883076134656,-6.36072675593291",https://www.datoscif.es/empresa/xsport-rota-sl
FUERZA Y HONOR MASSANASSA SL,+34673256911,C/ PERE EL CEREMONIIOS 10 3,46460,Silla,Valencia,"Actividad principal: 1.- Las actividades de gimnasios, clubes e instalaciones de fitness y culturismo -CNAE 93.13-. 2.- Gestión, promoción y explotación de instalaciones y establecimientos deportivos, así como la organización de eventos deportivos -CNAE 93.11-. 3.- La promoción, práctica, enseñanza","3.000,00 Euros",08/05/2025,,https://www.datoscif.es/empresa/fuerza-y-honor-massanassa-sl
JUDO BARCELONA SL,+34933254934,CL MARQUES DE SENTMENAT NUM.26,08014,Barcelona,Barcelona,"ACTIVIDAD PRINCIPAL: 9319 / ACTIVIDADES DEPORTIVAS N.C.O.P.. OTRAS ACTIVIDADES: 8695 / ACTIVIDADES DE FISIOTERAPIA. 8696 / ACTIVIDADES DE MEDICINA TRADICIONAL, COMPLEMENTARIA Y ALTERNATIVA","3.000,00 Euros",26/05/2025,"41.38453096249236,2.136537344897399",https://www.datoscif.es/empresa/judo-barcelona-sl
SUNSET AFFAIRS SL,+34651593807,C/ TORREONES 9,03710,Calp,Alicante/Alacant,Actividades recreativas y de entretenimiento,"300,00 Euros",14/05/2025,"38.64453145487251,0.044083462792404",https://www.datoscif.es/empresa/sunset-affairs-sl
MALAGA GAMING LAB SL,+34719261258,CALLE ALCALDE GUILLERMO REIN Número152,29006,Málaga,Málaga,Actividad principal: 93.29 / Actividades recreativas y de entretenimiento n.c.o.p. Otras actividades: 56.30 / Servicios de bebidas.-,"4.000,00 Euros",01/06/2025,"36.71140434135705,-4.48347939433120",https://www.datoscif.es/empresa/malaga-gaming-lab-sl
LIMA STRATEGY SL,+34916639625,AVDA JESUS DE MONASTERIO 2 - CHALET 26,28706,San Sebastián de los Reyes,Madrid,"La sociedad tiene como actividad principal la gestión, organización y desarrollo de diversas actividades recreativas. El código Nacional de Actividades Económicas a dicha actividad es el número 9329, relativo a Actividades recreativas y de entretenimiento n.c.o.p","3.000,00 Euros",24/04/2025,"40.60277048266742,-3.58501835670380",https://www.datoscif.es/empresa/lima-strategy-sl
WAU BIENESTAR MASCOTAS SL,346417440,PASEO DE LA CASTELLANA 194 - CINK COWORKING- PLANT,28046,Madrid,Madrid,9609 Otros servicios personales n.c.o.p,"3.000,00 Euros",26/05/2025,"40.46171109666931,-3.68861829504856",https://www.datoscif.es/empresa/wau-bienestar-mascotas-sl
APUNTO ELECTROSERVICIOS SL,346642415,C/ COVARRUBIAS 28 - 2º DERECHA,28010,Madrid,Madrid,Otras instalaciones en obras de construcción,"3.000,00 Euros",09/04/2025,"40.43068507316207,-3.69780031080290",https://www.datoscif.es/empresa/apunto-electroservicios-sl
NALEVIR SL,+34976677950,AVDA COSCULLUELA 10 Esc.3 3º A,50600,Ejea de los Caballeros,Zaragoza,"CNAE 4331. Trabajos de albañilería en general, incluyendo la ejecución de obras de construcción. reforma y rehabilitación, así como la aplicación de yesos, morteros y pladur en todo tipo de edificaciones. También realizará enfoscados, alisados, tabiquería y falsos techos, tanto en interiores como en","6.000,00 Euros",26/05/2025,"42.12547776562625,-1.13903093767469",https://www.datoscif.es/empresa/nalevir-sl
ESBRIKER SL,346241095,AV CARMEN AMAYA NUM.30 P.4 PTA.2,08902,L'Hospitalet de Llobregat,Barcelona,ACTIVIDAD PRINCIPAL: 4332 / INSTALACION DE CARPINTERIA.  OTRAS ACTIVIDADES: 4941 / TRANSPORTE DE MERCANCIAS POR CARRETERA. 4399 / OTRAS ACTIVIDADES DE CONSTRUCCION ESPECIALIZADA N.C.O.P,"500,00 Euros",30/05/2025,"41.35540519674472,2.118370673198168",https://www.datoscif.es/empresa/esbriker-sl
KALPAÑI SL,+34913272978,"PASEO DE LA CASTELLANA 257, TORRE SUR",28046,Madrid,Madrid,SERVICIOS DE HOSTELERIA Y DE RESTAURACION,"1.000,00 Euros",22/05/2025,"40.47513839107579,-3.68856304475359",https://www.datoscif.es/empresa/kalpani-sl
BRIDGESTONE ASSOCIATES SL,+34918106239,"C/ SIERRA ALBARRACIN 26 - PUERTA B, PLANTA 3",28923,Alcorcón,Madrid,Actividades de sociedades holding. Servicios de bebidas.Servicios regulares de catering y otros servicios de comidas. Hoteles y alojamientos similares. Restaurantes. Alquiler de automóviles y vehículos de motor ligeros.Comercio al por menor no especializado con predominio de productos..,"3.000,00 Euros",03/06/2025,"40.34658424450036,-3.82196868931258",https://www.datoscif.es/empresa/bridgestone-associates-sl
SHIBAURUM GROUP SL,+34918762121,CALLE ARCHIPIELAGO CABRERA Número30,28350,Ciempozuelos,Madrid,"Actividades de servicios de intermediación para el comercio al por menor no especializado. Actividades de sociedades holding, Alquiler de bienes inmobiliarios por cuenta propia, Otras actividades inmobiliarias por cuenta de tercero","3.000,00 Euros",27/05/2025,"40.15418658470229,-3.63046100181583",https://www.datoscif.es/empresa/shibaurum-group-sl
PROPIEDADES FAMILIA TROYANO SL,+34910550105,AVDA DE VICALVARO Nº237,28822,Coslada,Madrid,"Actividades inmobiliarias por cuenta propia y promoción inmobiliaria.  La adquisición, promoción, explotación, administración, arrendamiento y transmisión de todo tipo de bienes inmuebles..","3.000,00 Euros",21/05/2025,"40.41597729139549,-3.54211834087125",https://www.datoscif.es/empresa/propiedades-familia-troyano-sl
MATIYURE SL,212355169,C/ GRAVINA 3 - LOCAL L-10,28004,Madrid,Madrid,"La elaboración, comercialización, distribución y venta al por menor de productos de alimentación, bebidas y productos de uso doméstico, incluyendo productos de alimentación selectos, gourmet, delicatessen, bebidas alcohólicas de alta gama y productos de origen nacional o internacional","35.000,00 Euros",14/05/2025,"40.42330261058066,-3.69826520812178",https://www.datoscif.es/empresa/matiyure-sl
JFX LICENCIAS SL,+34916497010,AVDA DE LA INDUSTRIA 21 - PUERTA 8 LOCAL 8.,28946,Fuenlabrada,Madrid,La Sociedad tiene porobjeto: Actividad Principal: 4642 - Comercioal por mayor de prendas de vestir y calzado Otras Actividades: 4690 - Comercio al por mayar no especializado 4712 - Otro comercio al por menor no especializado 4771 - Comercio al por menor de prendas de vestir,"10.000,00 Euros",14/05/2025,"40.27046741644402,-3.76351514337043",https://www.datoscif.es/empresa/jfx-licencias-sl
KIMILUX PARK SL,232243443,CL D' AGUSTI VIÑAMATA NUM.1 P.1 PTA.1,,Granollers,Barcelona,"ACTIVIDAD PRINCIPAL: 4616 / ACTIVIDADES DE INTERMEDIARIOS DEL COMERCIO AL POR MAYOR DE TEXTILES, PRENDAS DE VESTIR, PELETERIA, CALZADO YAáARTICULOS DE CUERO. OTRAS ACTIVIDADES: 4777 / COMERCIO AL POR MENOR DE ARTICULOS, ETC","18.000,00 Euros",23/05/2025,,https://www.datoscif.es/empresa/kimilux-park-sl
PINSERIA LA POPINA SL,346476579,PLAZA SANTA MARIA DEL CAMINO 2 - BAJO,24003,León,León,"Código CNAE de la actividad principal: 4617. Compraventa, importación, exportación y comercio online, tanto al por mayor como al por menor, de toda clase de productos alimenticios, en especial y aceitunas y sus derivados, encurtidos y sus derivados, aceites y derivados y vinos y derivados","3.000,00 Euros",23/05/2025,"42.59558570087403,-5.56881640689737",https://www.datoscif.es/empresa/pinseria-la-popina-sl
IMPORTACION EXPORTACION MAROC SL,+34927533782,"C/ DEHESA DE LA JARA, 14 10300",10300,Navalmoral de la Mata,Cáceres,Comercio al por mayor de animales vivos,"3.000,00 Euros",25/04/2025,,https://www.datoscif.es/empresa/importacion-exportacion-maroc-sl
COMBUSTIBLES DEL KILIMANJARO SL,+34943316766,CTRA DE BURGOS Km 22 - SALIDA 20,28709,San Sebastián de los Reyes,Madrid,"El comercio al por menor de combustible para la automoción en establecimientos especializados, con C.N.A.E. 4730","3.000,00 Euros",13/01/2025,"40.54969029725125,-3.62011420057517",https://www.datoscif.es/empresa/combustibles-del-kilimanjaro-sl
COMBUSTIBLES DEL FUJI SL,+34680134436,CTRA DE BURGOS Km 22 - SALIDA 20,28709,San Sebastián de los Reyes,Madrid,"El comercio al por menor de combustible para la automoción en establecimientos especializados, con C.N.A.E. 4730","3.000,00 Euros",13/01/2025,"40.54969029725125,-3.62011420057517",https://www.datoscif.es/empresa/combustibles-del-fuji-sl
AXOUXERE SOLUTIONS SL,+34981811462,"C/ DEFENSA JARDIN ARTISTICO, 14 Esc.1 0º B 15900",15900,Padrón,A Coruña,"La Sociedad tiene por objeto: actividad principal que constituye el objeto social es reparación y mantenimiento de ordenadores y equipos de comunicación y que le corresponde el número 95.10 así como otras actividades, NO PRINCIPALES, que a continuación se indican: CNAE 47.40.- Comercio al por menor","3.000,00 Euros",11/04/2025,"42.73748556954920,-8.65791519370678",https://www.datoscif.es/empresa/axouxere-solutions-sl
QUADERN VERMELL SL,+34652244236,C/ SOL S/N,07110,Bunyola,Illes Balears,"La compraventa de libros al por menor y al por mayor, la edición de libros y su distribución. -CNAE Actividad Principal: 4761- Comercio al por menor de libros. La organización y gestión de todo tipo de eventos culturales, tales como bodas, aniversarios, graduaciones, comuniones, bautizos, fiestas in","3.000,00 Euros",22/05/2025,"39.69610717080687,2.701010291242684",https://www.datoscif.es/empresa/quadern-vermell-sl
REINO BATATERO SL,349337947,CL ROSA LUXEMBURG BL.LOCAL NUM.14,08960,Sant Just Desvern,Barcelona,ACTIVIDAD PRINCIPAL: 4764 / COMERCIO AL POR MENOR DE JUEGOS Y JUGUETES. OTRAS ACTIVIDADES: 4762 / COMERCIO AL POR MENOR DE PERIODICOS Y OTRAS PUBLICACIONES PERIODICAS Y ARTICULOS DE PAPELERIA. 4761 / COMERCIO AL POR MENO. ETC,"10,00 Euros",01/06/2025,,https://www.datoscif.es/empresa/reino-batatero-sl
IRIA CHARGER SL,+34931358488,CL ESQUIROL NUM.4,08500,Vic,Barcelona,"DISEÑO, FABRICACION Y COMERCIALIZACION DE CARGADORES ELECTRICOS. CNAE DE LA ACTIVIDAD PRINCIPAL 4669","3.000,00 Euros",12/05/2025,"41.95381509194818,2.276966345247542",https://www.datoscif.es/empresa/iria-charger-sl
JOU CARS OSONA 2025 SL,+34938831330,CL RIPOLL NUM.65,08500,Vic,Barcelona,"LA COMPRAVENTA DE VEHICULOS, ASI COMO LA INTERMEDIACION EN OPERACIONES DE FINANCIACION, INTERMEDIACION CON ASEGURADORAS Y GESTIONES INMOBILIARIAS. EL CNAE DE LA ACTIVIDAD PRINCIPAL ES EL 4671","3.000,00 Euros",12/05/2025,"41.94700993325858,2.257451883610901",https://www.datoscif.es/empresa/jou-cars-osona-2025-sl
APEX ENERGY SL,300273969,C/ carretas 55 - SI,28770,Colmenar Viejo,Madrid,"Comercio al por mayor de combustibles sólidos, líquidos y gaseosos, y productos similares","3.000.000,00 Euros",01/06/2025,"40.66227030039570,-3.76866060655468",https://www.datoscif.es/empresa/apex-energy-sl
AG CONSTRULOW SL,+34686324480,"PLAZA DE LA LABRANZA, 5 11500",11500,El Puerto de Santa María,Cádiz,"Comercio al por mayor de madera, materiales de construcción y aparatos sanitarios","27.000,00 Euros",29/05/2025,"36.62907845530537,-6.20979160151939",https://www.datoscif.es/empresa/ag-construlow-sl
JANGS 786 SL,+34931260638,CL NICARAGUA NUM.153,08029,Barcelona,Barcelona,"ACTIVIDAD PRINCIPAL: 4711 / COMERCIO AL POR MENOR NO ESPECIALIZADO CON PREDOMINIO DE PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO. OTRAS ACTIVIDADES: 5330 / SERVICIOS DE INTERMEDIACION PARA LAS ACTIVIDADES POSTALES ETC","3.000,00 Euros",20/07/2025,"41.38709291601689,2.136206589773012",https://www.datoscif.es/empresa/jangs-786-sl
ALIMENTOS HERMANOS LLANOS SL,+34924551400,"C/ SERRANILLO, 45",06310,Puebla de Sancho Pérez,Badajoz,"-El comercio al por menor en establecimientos no especializados, con predominio en productos alimenticios, bebidas y tabaco (CNAE 4711). -la promoción inmobiliaria de edificaciones; -la fabricación de estructuras metálicas y sus componentes. -La adquisición, administración y enajenación y, en genera","3.000,00 Euros",30/04/2025,"38.39370403266584,-6.40218944416524",https://www.datoscif.es/empresa/alimentos-hermanos-llanos-sl
FRUITIK SL,+34936617750,CL EUSEBI GUELL NUM.44 ESC.A PTA.01,08830,Sant Boi de Llobregat,Barcelona,"ACTIVIDAD PRINCIPAL: 4711 / COMERCIO AL POR MENOR NO ESPECIALIZADO CON PREDOMINIO DE PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO. OTRAS ACTIVIDADES: 5611 / RESTAURANTES","3.000,00 Euros",15/06/2025,"41.34764185760724,2.033399478771163",https://www.datoscif.es/empresa/fruitik-sl
